# Ni2+, Z = 28
# Ground state: 2p6 3d8, Excited state: 2p5 3d9
# Slater-Condon integrals reduction (100% means no reduction): Fdd = 80%, Fpd = 80%, Gpd = 80%
# Spin-Orbit coupling reduction: Core - 99%, Valence - 99%
#
# C4h crystal field symmetry
# 10dq =  1.000 eV, d1 =  0.000 eV, d3 = 0.000 eV
#
# Initial states used and their weight (T = 300.0 K)
# State Energy Weight
# -1+ -2.428 (33.3%)
# 1+ -2.428 (33.3%)
# 2+ -2.428 (33.3%)
#
# Lifetime broadening (lorentzian) = 0.50
# Instrumental broadening (gaussian) = 0.10
#
parallel,right,left
-1.0365317073170743,0.21158512204543967,0.21158516222679502,0.21158516222679502
-0.9360507317073186,0.20038019258622247,0.20038023133212496,0.20038023133212496
-0.8355697560975619,0.19020981649714072,0.19020985408293486,0.19020985408293486
-0.7350887804878061,0.1809470895725846,0.18094712624205767,0.18094712624205767
-0.6346078048780504,0.17248509255136676,0.17248512852155395,0.17248512852155395
-0.5341268292682937,0.16473314610399728,0.16473318156922973,0.16473318156922973
-0.4336458536585379,0.1576138717647486,0.1576139069000673,0.1576139069000673
-0.33316487804878214,0.15106086611322633,0.15106090107729161,0.15106090107729161
-0.23268390243902548,0.145016845521428,0.14501688045899688,0.14501688045899688
-0.1322029268292697,0.13943215499027528,0.139432190034331,0.139432190034331
-0.031721951219513045,0.13426356098000822,0.13426359625359902,0.13426359625359902
